BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,Year,ActualCount,AdjustedForecast
"The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",2008,423346-1,1,1,FL,No Tolls on 1+ lane,9650,2011,1,2008,5-Consultant,1-Traffic count trend,,"12-9133-423346-1-The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",1,12-24829-110319,2011,10600,110319,Florida,12-24829-110319,3-Principal Arterial,2012,10600,9650
"The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",2008,423346-1,1,1,FL,No Tolls on 1+ lane,12600,2021,2,2008,5-Consultant,1-Traffic count trend,,"12-9133-423346-1-The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",1,12-24829-110319,2011,10600,110319,Florida,12-24829-110319,3-Principal Arterial,2022,NA,9625
"The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",2008,423346-1,1,1,FL,No Tolls on 1+ lane,15600,2031,3,2008,5-Consultant,1-Traffic count trend,,"12-9133-423346-1-The SR 50 Resurfacing Project from Sumter County Line (M.P. 0.000) to CR 33/Bluff Lake Road
(M.P. 4.293)",1,12-24829-110319,2011,10600,110319,Florida,12-24829-110319,3-Principal Arterial,2032,NA,9650
"SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",2012,423096-1,4,1,FL,No Tolls on 1+ lane,6600,2014,1,2012,5-Consultant,5-Professional judgement,,"12-9134-423096-1-SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",1,12-24830-111000,2014,6500,111000,Florida,12-24830-111000,4-Minor Arterial,2016,6500,6600
"SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",2012,423096-1,4,1,FL,No Tolls on 1+ lane,9200,2024,2,2012,5-Consultant,5-Professional judgement,,"12-9134-423096-1-SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",1,12-24830-111000,2014,6500,111000,Florida,12-24830-111000,4-Minor Arterial,2026,NA,6600
"SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",2012,423096-1,4,1,FL,No Tolls on 1+ lane,11800,2034,3,2012,5-Consultant,5-Professional judgement,,"12-9134-423096-1-SR 33 Add Turn Lane from S. of CR 474 (M.P. 0.927) to N. of CR 474 (M.P.
1.353)",1,12-24830-111000,2014,6500,111000,Florida,12-24830-111000,4-Minor Arterial,2036,NA,6600
"The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",2008,422708-1,1,3,FL,No Tolls on 1+ lane,18400,2010,1,2008,5-Consultant,4-Regional travel model,,"12-9135-422708-1-The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",1,12-24831-775050,2010,16600,775050,Florida,12-24831-775050,3-Principal Arterial,2011,16600,18400
"The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",2008,422708-1,1,3,FL,No Tolls on 1+ lane,23000,2020,2,2008,5-Consultant,4-Regional travel model,,"12-9135-422708-1-The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",1,12-24831-775050,2010,16600,775050,Florida,12-24831-775050,3-Principal Arterial,2021,NA,18400
"The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",2008,422708-1,1,3,FL,No Tolls on 1+ lane,27600,2030,3,2008,5-Consultant,4-Regional travel model,,"12-9135-422708-1-The SR 46 Resurfacing Project West of Mills Creek Bridge (M.P. 8.448) to SR 15/600/US 17-
92 (M.P. 8.929).",1,12-24831-775050,2010,16600,775050,Florida,12-24831-775050,3-Principal Arterial,2031,NA,18400
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",2008,422707-1,1,3,FL,No Tolls on 1+ lane,75300,2011,1,2008,5-Consultant,5-Professional judgement,SR 436 ? 0.500 Mile East of Oxford Road,"12-9136-422707-1-The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",1,12-24832-775078,2011,73500,775078,Florida,12-24832-775078,3-Principal Arterial,2012,73500,75300
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",2008,422707-1,1,3,FL,No Tolls on 1+ lane,82600,2021,2,2008,5-Consultant,5-Professional judgement,SR 436 ? 0.500 Mile East of Oxford Road,"12-9136-422707-1-The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",1,12-24832-775078,2011,73500,775078,Florida,12-24832-775078,3-Principal Arterial,2022,NA,75300
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",2008,422707-1,1,3,FL,No Tolls on 1+ lane,89900,2031,3,2008,5-Consultant,5-Professional judgement,SR 436 ? 0.500 Mile East of Oxford Road,"12-9136-422707-1-The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",1,12-24832-775078,2011,73500,775078,Florida,12-24832-775078,3-Principal Arterial,2032,NA,75300
"The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",2008,422707-1,1,3,FL,No Tolls on 1+ lane,71800,,2,2008,5-Consultant,5-Professional judgement,SR 436 ? 0.200 Mile South of Red Bug Lake Road,"12-9137-422707-1-The SR 436 Resurfacing Project from East of Oxford Road (M.P. 7.729) to Cassel Creek Road (M.P.
9.297).",2,12-24833-770271,2011,60500,770271,Florida,12-24833-770271,3-Principal Arterial,,NA,
"The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",2010,422683-1,1,3,FL,No Tolls on 1+ lane,39400,2012,1,2010,5-Consultant,2-Population growth rates,Site 795096-M.P. 18.875,"12-9138-422683-1-The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",1,12-24834-795096,2012,39000,795096,Florida,12-24834-795096,3-Principal Arterial,2013,39000,39400
"The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",2010,422683-1,1,3,FL,No Tolls on 1+ lane,43200,2022,2,2010,5-Consultant,2-Population growth rates,Site 795096-M.P. 18.875,"12-9138-422683-1-The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",1,12-24834-795096,2012,39000,795096,Florida,12-24834-795096,3-Principal Arterial,2023,NA,39350
"The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",2010,422683-1,1,3,FL,No Tolls on 1+ lane,47100,2032,3,2010,5-Consultant,2-Population growth rates,Site 795096-M.P. 18.875,"12-9138-422683-1-The SR 600 (US 92/International Speedway Blvd.) ? add left turn lanes project east and west approaches of
the SR 600/US 92/ISB intersection at SR 5A (Nova Road) from M.P. 19.451 to M.P.19.704",1,12-24834-795096,2012,39000,795096,Florida,12-24834-795096,3-Principal Arterial,2033,NA,39400
"The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",2008,422567-1,1,3,FL,No Tolls on 1+ lane,18400,2010,1,2008,5-Consultant,4-Regional travel model,MP 5 to MP 5.5,"12-9141-422567-1-The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",1,12-24837-700080,2010,19900,700080,Florida,12-24837-700080,3-Principal Arterial,2011,19900,18400
"The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",2008,422567-1,1,3,FL,No Tolls on 1+ lane,24000,2020,2,2008,5-Consultant,4-Regional travel model,MP 5 to MP 5.5,"12-9141-422567-1-The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",1,12-24837-700080,2010,19900,700080,Florida,12-24837-700080,3-Principal Arterial,2021,NA,18350
"The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",2008,422567-1,1,3,FL,No Tolls on 1+ lane,29700,2030,3,2008,5-Consultant,4-Regional travel model,MP 5 to MP 5.5,"12-9141-422567-1-The SR 520 Resurfacing Project from west of A Lane (M.P. 5.000) to East of Lakeview Blvd (M.P.
5.500).",1,12-24837-700080,2010,19900,700080,Florida,12-24837-700080,3-Principal Arterial,2031,NA,18400
"The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",2009,422223-1,4,3,FL,No Tolls on 1+ lane,14000,2011,1,2009,5-Consultant,2-Population growth rates,MP .939 to MP 1.128,"12-9142-422223-1-The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",1,12-24838-750089,2011,15900,750089,Florida,12-24838-750089,4-Minor Arterial,2013,15900,14000
"The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",2009,422223-1,4,3,FL,No Tolls on 1+ lane,17300,2021,2,2009,5-Consultant,2-Population growth rates,MP .939 to MP 1.128,"12-9142-422223-1-The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",1,12-24838-750089,2011,15900,750089,Florida,12-24838-750089,4-Minor Arterial,2023,NA,14000
"The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",2009,422223-1,4,3,FL,No Tolls on 1+ lane,20600,2031,3,2009,5-Consultant,2-Population growth rates,MP .939 to MP 1.128,"12-9142-422223-1-The SR 438 (Silver Star Road) Add Left Turn Lane(s) project from 600 ft
west of Orange Avenue (M.P. 0.939) to 400 ft east of Orange Avenue (M.P. 1.128).",1,12-24838-750089,2011,15900,750089,Florida,12-24838-750089,4-Minor Arterial,2033,NA,14000
"The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",2007,422008-1,1,3,FL,No Tolls on 1+ lane,18500,2010,1,2007,5-Consultant,1-Traffic count trend,MP 0000 to MO 1.459,"12-9167-422008-1-The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",1,12-24863-750089,2010,16500,750089,Florida,12-24863-750089,4-Minor Arterial,2011,16500,18500
"The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",2007,422008-1,1,3,FL,No Tolls on 1+ lane,24100,2020,2,2007,5-Consultant,1-Traffic count trend,MP 0000 to MO 1.459,"12-9167-422008-1-The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",1,12-24863-750089,2010,16500,750089,Florida,12-24863-750089,4-Minor Arterial,2021,NA,18500
"The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",2007,422008-1,1,3,FL,No Tolls on 1+ lane,29700,2030,3,2007,5-Consultant,1-Traffic count trend,MP 0000 to MO 1.459,"12-9167-422008-1-The SR 438 Resurfacing Project from Ocoee-Apopka Road (M.P. 0.000) to Whittier Avenue (M.P.
1.459).",1,12-24863-750089,2010,16500,750089,Florida,12-24863-750089,4-Minor Arterial,2031,NA,18500
SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,2007,422033-1,1,3,FL,No Tolls on 1+ lane,59100,2010,1,2007,5-Consultant,4-Regional travel model,MP 5.789 to MP 6.724,12-9143-422033-1-SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,1,12-24839-920300,2010,58500,920300,Florida,12-24839-920300,3-Principal Arterial,2011,58500,59100
SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,2007,422033-1,1,3,FL,No Tolls on 1+ lane,69200,2020,2,2007,5-Consultant,4-Regional travel model,MP 5.789 to MP 6.724,12-9143-422033-1-SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,1,12-24839-920300,2010,58500,920300,Florida,12-24839-920300,3-Principal Arterial,2021,NA,59050
SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,2007,422033-1,1,3,FL,No Tolls on 1+ lane,79400,2030,3,2007,5-Consultant,4-Regional travel model,MP 5.789 to MP 6.724,12-9143-422033-1-SR 530 Resurfacing Project from SR 400 (M.P.5.789) to Bonnet Creek Bridge (M.P. 6.724).,1,12-24839-920300,2010,58500,920300,Florida,12-24839-920300,3-Principal Arterial,2031,NA,59100
The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,2009,422032-1,1,3,FL,No Tolls on 1+ lane,29500,2011,1,2009,5-Consultant,5-Professional judgement,MP 3.307 to MP 6.174,12-9144-422032-1-The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,1,12-24840-790363,2011,27000,790363,Florida,12-24840-790363,3-Principal Arterial,2012,27000,29500
The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,2009,422032-1,1,3,FL,No Tolls on 1+ lane,35700,2021,2,2009,5-Consultant,5-Professional judgement,MP 3.307 to MP 6.174,12-9144-422032-1-The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,1,12-24840-790363,2011,27000,790363,Florida,12-24840-790363,3-Principal Arterial,2022,NA,29550
The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,2009,422032-1,1,3,FL,No Tolls on 1+ lane,41800,2031,3,2009,5-Consultant,5-Professional judgement,MP 3.307 to MP 6.174,12-9144-422032-1-The SR 5A Resurfacing Project rom Herbert St (M.P. 3.307) to North of Beville Rd (M.P. 6.174).,1,12-24840-790363,2011,27000,790363,Florida,12-24840-790363,3-Principal Arterial,2032,NA,29500
The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),2008,422031-1,1,3,FL,No Tolls on 1+ lane,8700,2010,1,2008,5-Consultant,4-Regional travel model,MP 0 to MP 1.433,12-9145-422031-1-The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),1,12-24841-790421,2010,8600,790421,Florida,12-24841-790421,4-Minor Arterial,2011,8600,8700
The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),2008,422031-1,1,3,FL,No Tolls on 1+ lane,9650,2020,2,2008,5-Consultant,4-Regional travel model,MP 0 to MP 1.433,12-9145-422031-1-The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),1,12-24841-790421,2010,8600,790421,Florida,12-24841-790421,4-Minor Arterial,2021,NA,8700
The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),2008,422031-1,1,3,FL,No Tolls on 1+ lane,10600,2030,3,2008,5-Consultant,4-Regional travel model,MP 0 to MP 1.433,12-9145-422031-1-The SR 44 Resurfacing Project from Riverside Drive (M.P. 0.000) to Peninsula Avenue (M.P. 1.433),1,12-24841-790421,2010,8600,790421,Florida,12-24841-790421,4-Minor Arterial,2031,NA,8700
The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,2007,422030-1,1,3,FL,No Tolls on 1+ lane,36600,2010,1,2007,5-Consultant,4-Regional travel model,MP 0 to MO 1481,12-9147-422030-1-The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,1,12-24843-795128,2010,19500,795128,Florida,12-24843-795128,3-Principal Arterial,2011,19500,36600
The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,2007,422030-1,1,3,FL,No Tolls on 1+ lane,40300,2020,2,2007,5-Consultant,4-Regional travel model,MP 0 to MO 1481,12-9147-422030-1-The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,1,12-24843-795128,2010,19500,795128,Florida,12-24843-795128,3-Principal Arterial,2021,NA,36650
The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,2007,422030-1,1,3,FL,No Tolls on 1+ lane,43900,2030,3,2007,5-Consultant,4-Regional travel model,MP 0 to MO 1481,12-9147-422030-1-The SR 40 Resurfacing Project from US 1 (M.P. 0.000) to SR A1A (M.P. 1.481,1,12-24843-795128,2010,19500,795128,Florida,12-24843-795128,3-Principal Arterial,2031,NA,36600
The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,2008,422028-1,1,3,FL,No Tolls on 1+ lane,13500,2010,1,2008,5-Consultant,2-Population growth rates,MP 0000 to MP 0.934,12-9148-422028-1-The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,1,12-24844-790111,2010,11500,790111,Florida,12-24844-790111,4-Minor Arterial,2011,11500,13500
The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,2008,422028-1,1,3,FL,No Tolls on 1+ lane,15800,2020,2,2008,5-Consultant,2-Population growth rates,MP 0000 to MP 0.934,12-9148-422028-1-The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,1,12-24844-790111,2010,11500,790111,Florida,12-24844-790111,4-Minor Arterial,2021,NA,13550
The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,2008,422028-1,1,3,FL,No Tolls on 1+ lane,18000,2030,3,2008,5-Consultant,2-Population growth rates,MP 0000 to MP 0.934,12-9148-422028-1-The SR 44 Resurfacing Project from Lytle St (M.P. 0.000) to SR 5/US 1 (M.P. 0.934).,1,12-24844-790111,2010,11500,790111,Florida,12-24844-790111,4-Minor Arterial,2031,NA,13500
"The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",2007,422027-1,1,3,FL,No Tolls on 1+ lane,28500,2010,1,2007,5-Consultant,4-Regional travel model,MP 26.978 to MP 27.494,"12-9149-422027-1-The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",1,12-24845-790514,2010,17700,790514,Florida,12-24845-790514,3-Principal Arterial,2011,17700,28500
"The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",2007,422027-1,1,3,FL,No Tolls on 1+ lane,33100,2020,2,2007,5-Consultant,4-Regional travel model,MP 26.978 to MP 27.494,"12-9149-422027-1-The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",1,12-24845-790514,2010,17700,790514,Florida,12-24845-790514,3-Principal Arterial,2021,NA,28500
"The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",2007,422027-1,1,3,FL,No Tolls on 1+ lane,37700,2030,3,2007,5-Consultant,4-Regional travel model,MP 26.978 to MP 27.494,"12-9149-422027-1-The SR 44 Resurfacing Project from Jungle Road (M.P. 26.978) to 570 feet south of 6th Avenue (M.P.
31.310).",1,12-24845-790514,2010,17700,790514,Florida,12-24845-790514,3-Principal Arterial,2031,NA,28500
"The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",2007,422026-1,1,3,FL,No Tolls on 1+ lane,17300,2010,1,2007,5-Consultant,1-Traffic count trend,MP 6.372 to MO 9.096,"12-9151-422026-1-The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",1,12-24847-790080,2010,12300,790080,Florida,12-24847-790080,3-Principal Arterial,2011,12300,17300
"The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",2007,422026-1,1,3,FL,No Tolls on 1+ lane,22200,2020,2,2007,5-Consultant,1-Traffic count trend,MP 6.372 to MO 9.096,"12-9151-422026-1-The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",1,12-24847-790080,2010,12300,790080,Florida,12-24847-790080,3-Principal Arterial,2021,NA,17550
"The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",2007,422026-1,1,3,FL,No Tolls on 1+ lane,26600,2030,3,2007,5-Consultant,1-Traffic count trend,MP 6.372 to MO 9.096,"12-9151-422026-1-The SR 44 Resurfacing Project from Hill Ave (M.P. 6.372) to West of CR 4139/Summit Ave (M.P.
9.096)",1,12-24847-790080,2010,12300,790080,Florida,12-24847-790080,3-Principal Arterial,2031,NA,17300
"The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",2009,422024-2,1,1,FL,No Tolls on 1+ lane,17700,2013,1,2009,5-Consultant,5-Professional judgement,MP 7.2 to MP 13.175,"12-9152-422024-2-The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",1,12-24848-790478,2013,19800,790478,Florida,12-24848-790478,3-Principal Arterial,2014,19800,17700
"The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",2009,422024-2,1,1,FL,No Tolls on 1+ lane,19400,2023,2,2009,5-Consultant,5-Professional judgement,MP 7.2 to MP 13.175,"12-9152-422024-2-The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",1,12-24848-790478,2013,19800,790478,Florida,12-24848-790478,3-Principal Arterial,2024,NA,17700
"The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",2009,422024-2,1,1,FL,No Tolls on 1+ lane,21100,2033,3,2009,5-Consultant,5-Professional judgement,MP 7.2 to MP 13.175,"12-9152-422024-2-The SR 600 (US 92) Rigid Pavement Rehabilitation project from East of Clark Bay Road
(M.P. 7.200) to the end of the rigid pavement (M.P. 13.175).",1,12-24848-790478,2013,19800,790478,Florida,12-24848-790478,3-Principal Arterial,2034,NA,17700
The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,2007,422024-1,1,3,FL,No Tolls on 1+ lane,14100,2010,1,2007,5-Consultant,1-Traffic count trend,MP 2.763 to MP 15.444,12-9153-422024-1-The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,1,12-24849-799925,2010,14006,799925,Florida,12-24849-799925,3-Principal Arterial,2011,14006,14100
The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,2007,422024-1,1,3,FL,No Tolls on 1+ lane,16700,2020,2,2007,5-Consultant,1-Traffic count trend,MP 2.763 to MP 15.444,12-9153-422024-1-The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,1,12-24849-799925,2010,14006,799925,Florida,12-24849-799925,3-Principal Arterial,2021,NA,14100
The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,2007,422024-1,1,3,FL,No Tolls on 1+ lane,19300,2030,3,2007,5-Consultant,1-Traffic count trend,MP 2.763 to MP 15.444,12-9153-422024-1-The SR 600 Resurfacing Project from Kepler Rd (M.P. 2.763) to I-4 (M.P. 15.444,1,12-24849-799925,2010,14006,799925,Florida,12-24849-799925,3-Principal Arterial,2031,NA,14100
"SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",2007,422023-1,1,1,FL,No Tolls on 1+ lane,6100,2010,1,2007,5-Consultant,1-Traffic count trend,MP 17.102 to MP 25.873,"12-9154-422023-1-SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",1,12-24850-790280,2010,4500,790280,Florida,12-24850-790280,3-Principal Arterial,2011,4500,6100
"SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",2007,422023-1,1,1,FL,No Tolls on 1+ lane,7500,2020,2,2007,5-Consultant,1-Traffic count trend,MP 17.102 to MP 25.873,"12-9154-422023-1-SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",1,12-24850-790280,2010,4500,790280,Florida,12-24850-790280,3-Principal Arterial,2021,NA,6100
"SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",2007,422023-1,1,1,FL,No Tolls on 1+ lane,8900,2030,3,2007,5-Consultant,1-Traffic count trend,MP 17.102 to MP 25.873,"12-9154-422023-1-SR 15 Resurfacing Project from south of Washington Ave. (M.P.17.102) to Putnam
County Line (M.P. 25.873).",1,12-24850-790280,2010,4500,790280,Florida,12-24850-790280,3-Principal Arterial,2031,NA,6100
"The SR 15 Resurfacing Project from the Seminole County Line (M.P. 0.000) to Barwick Rd (M.P.
0.411).",2007,422022-1,1,1,FL,No Tolls on 1+ lane,25100,2010,1,2007,5-Consultant,4-Regional travel model,MP 0 to MO .411,"12-9155-422022-1-The SR 15 Resurfacing Project from the Seminole County Line (M.P. 0.000) to Barwick Rd (M.P.
0.411).",1,12-24851-770040,2010,21500,770040,Florida,12-24851-770040,3-Principal Arterial,2011,21500,25100
