BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,PercentError,AbsPE,Comments
TH 494 from TH 36 to Mississippi River Bridge,1979,SPAR-215,12,4,MN,No Tolls on 1+ lane,41600,0,1,1979,1-State DOT,1,", , , TH 494Proposed Industrial RdMississippi RiverEB",28-7280-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,,28-23450-,0,42500,,Minnesota,28-23450-,8,41600,-900,-2.163461538,2.163461538,
TH 494 from TH 36 to Mississippi River Bridge,1979,SPAR-215,12,4,MN,No Tolls on 1+ lane,41600,0,1,1979,1-State DOT,1,", , , WB",28-7281-SPAR-215-TH 494 from TH 36 to Mississippi River Bridge,,28-23450-,0,42500,,Minnesota,28-23450-,8,41600,-900,-2.163461538,2.163461538,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,13500,2000,1,1978,1-State DOT,1,", , , I-394West of  W TH 101EB",28-7282-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23451-,2000,22000,,Minnesota,28-23451-,8,13500,-8500,-62.96296296,62.96296296,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,13500,2000,1,1978,1-State DOT,1,", , , WB",28-7283-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23452-,2000,22000,,Minnesota,28-23452-,8,13500,-8500,-62.96296296,62.96296296,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,11000,2000,1,1978,1-State DOT,1,", , , I-394Between W TH 101EB",28-7284-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23452-,2000,22000,,Minnesota,28-23452-,8,11000,-11000,-100,100,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,11000,2000,1,1978,1-State DOT,1,", , , WB",28-7285-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23452-,2000,22000,,Minnesota,28-23452-,8,11000,-11000,-100,100,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,15000,2000,1,1978,1-State DOT,1,", , , I-394W TH 101CSAH 15/E TH 101EB",28-7286-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23453-,2000,27000,,Minnesota,28-23453-,8,15000,-12000,-80,80,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,15000,2000,1,1978,1-State DOT,1,", , , WB",28-7287-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23454-,2000,27000,,Minnesota,28-23454-,8,15000,-12000,-80,80,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,22750,2000,1,1978,1-State DOT,1,", , , I-394CSAH 15/E TH 101Parkers Lake RdEB",28-7288-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23455-,2000,36000,,Minnesota,28-23455-,8,22750,-13250,-58.24175824,58.24175824,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,22750,2000,1,1978,1-State DOT,1,", , , WB",28-7289-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23456-,2000,36000,,Minnesota,28-23456-,8,22750,-13250,-58.24175824,58.24175824,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,21950,2000,1,1978,1-State DOT,1,", , , I-394Between Parkers Lake RdEB",28-7290-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23456-,2000,36000,,Minnesota,28-23456-,8,21950,-14050,-64.00911162,64.00911162,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,21950,2000,1,1978,1-State DOT,1,", , , WB",28-7291-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23456-,2000,36000,,Minnesota,28-23456-,8,21950,-14050,-64.00911162,64.00911162,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,25900,2000,1,1978,1-State DOT,1,", , , I-394Parkers Lake RdI 494EB",28-7292-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23457-,2000,38000,,Minnesota,28-23457-,8,25900,-12100,-46.71814672,46.71814672,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,25900,2000,1,1978,1-State DOT,1,", , , WB",28-7293-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23458-,2000,38000,,Minnesota,28-23458-,8,25900,-12100,-46.71814672,46.71814672,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,15700,2000,1,1978,1-State DOT,1,", , , I-394Between I 494EB",28-7294-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23458-,2000,38000,,Minnesota,28-23458-,8,15700,-22300,-142.0382166,142.0382166,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,15700,2000,1,1978,1-State DOT,1,", , , WB",28-7295-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23458-,2000,38000,,Minnesota,28-23458-,8,15700,-22300,-142.0382166,142.0382166,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,29750,2000,1,1978,1-State DOT,1,", , , I-394I 494Plymouth RdEB",28-7296-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23459-,2000,50000,,Minnesota,28-23459-,8,29750,-20250,-68.06722689,68.06722689,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,29750,2000,1,1978,1-State DOT,1,", , , WB",28-7297-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,29750,-20250,-68.06722689,68.06722689,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,27250,2000,1,1978,1-State DOT,1,", , , I-394Between Plymouth RdEB",28-7298-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,27250,-22750,-83.48623853,83.48623853,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,27250,2000,1,1978,1-State DOT,1,", , , WB",28-7299-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,27250,-22750,-83.48623853,83.48623853,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30450,2000,1,1978,1-State DOT,1,", , , I-394Plymouth RdRidgedale DrEB",28-7300-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,30450,-19550,-64.20361248,64.20361248,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30450,2000,1,1978,1-State DOT,1,", , , WB",28-7301-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,30450,-19550,-64.20361248,64.20361248,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,25350,2000,1,1978,1-State DOT,1,", , , I-394Between Ridgedale DrEB",28-7302-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,25350,-24650,-97.23865878,97.23865878,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,25350,2000,1,1978,1-State DOT,1,", , , WB",28-7303-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23460-,2000,50000,,Minnesota,28-23460-,8,25350,-24650,-97.23865878,97.23865878,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30350,2000,1,1978,1-State DOT,1,", , , I-394Ridgedale DrCSAH 73EB",28-7304-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23461-,2000,56500,,Minnesota,28-23461-,8,30350,-26150,-86.16144975,86.16144975,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30350,2000,1,1978,1-State DOT,1,", , , WB",28-7305-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,30350,-26150,-86.16144975,86.16144975,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,27750,2000,1,1978,1-State DOT,1,", , , I-394Between CSAH 73EB",28-7306-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,27750,-28750,-103.6036036,103.6036036,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,27750,2000,1,1978,1-State DOT,1,", , , WB",28-7307-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,27750,-28750,-103.6036036,103.6036036,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,31650,2000,1,1978,1-State DOT,1,", , , I-394CSAH 73CSAH 18EB",28-7308-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,31650,-24850,-78.5150079,78.5150079,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,31650,2000,1,1978,1-State DOT,1,", , , WB",28-7309-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,31650,-24850,-78.5150079,78.5150079,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,23650,2000,1,1978,1-State DOT,1,", , , I-394Between CSAH 18EB",28-7310-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,23650,-32850,-138.9006342,138.9006342,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,23650,2000,1,1978,1-State DOT,1,", , , WB",28-7311-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23462-,2000,56500,,Minnesota,28-23462-,8,23650,-32850,-138.9006342,138.9006342,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,34650,2000,1,1978,1-State DOT,1,", , , I-394CSAH 18CSAH 156EB",28-7312-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23463-,2000,59000,,Minnesota,28-23463-,8,34650,-24350,-70.27417027,70.27417027,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,34650,2000,1,1978,1-State DOT,1,", , , WB",28-7313-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23464-,2000,59000,,Minnesota,28-23464-,8,34650,-24350,-70.27417027,70.27417027,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,32550,2000,1,1978,1-State DOT,1,", , , I-394Between CSAH 156EB",28-7314-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23464-,2000,59000,,Minnesota,28-23464-,8,32550,-26450,-81.25960061,81.25960061,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,32550,2000,1,1978,1-State DOT,1,", , , WB",28-7315-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23464-,2000,59000,,Minnesota,28-23464-,8,32550,-26450,-81.25960061,81.25960061,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,37650,2000,1,1978,1-State DOT,1,", , , I-394CSAH 156Louisiana AveEB",28-7316-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23465-,2000,66000,,Minnesota,28-23465-,8,37650,-28350,-75.29880478,75.29880478,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,37650,2000,1,1978,1-State DOT,1,", , , WB",28-7317-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23466-,2000,66000,,Minnesota,28-23466-,8,37650,-28350,-75.29880478,75.29880478,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,34650,2000,1,1978,1-State DOT,1,", , , I-394Between Louisiana AveEB",28-7318-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23466-,2000,66000,,Minnesota,28-23466-,8,34650,-31350,-90.47619048,90.47619048,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,34650,2000,1,1978,1-State DOT,1,", , , WB",28-7319-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23466-,2000,66000,,Minnesota,28-23466-,8,34650,-31350,-90.47619048,90.47619048,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,39150,2000,1,1978,1-State DOT,1,", , , I-394Louisiana AveTurners CrossroadsEB",28-7320-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23467-,2000,67000,,Minnesota,28-23467-,8,39150,-27850,-71.1366539,71.1366539,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,39150,2000,1,1978,1-State DOT,1,", , , WB",28-7321-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23468-,2000,67000,,Minnesota,28-23468-,8,39150,-27850,-71.1366539,71.1366539,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,36150,2000,1,1978,1-State DOT,1,", , , I-394Between Turners CrossroadsEB",28-7322-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23468-,2000,67000,,Minnesota,28-23468-,8,36150,-30850,-85.33886584,85.33886584,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,36150,2000,1,1978,1-State DOT,1,", , , WB",28-7323-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23468-,2000,67000,,Minnesota,28-23468-,8,36150,-30850,-85.33886584,85.33886584,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,42950,2000,1,1978,1-State DOT,1,", , , I-394Turners CrossroadsTH 100EB",28-7324-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23469-,2000,67000,,Minnesota,28-23469-,8,42950,-24050,-55.99534342,55.99534342,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,42950,2000,1,1978,1-State DOT,1,", , , WB",28-7325-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,42950,-24050,-55.99534342,55.99534342,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30350,2000,1,1978,1-State DOT,1,", , , I-394Between TH 100EB",28-7326-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,30350,-36650,-120.7578254,120.7578254,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,30350,2000,1,1978,1-State DOT,1,", , , WB",28-7327-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,30350,-36650,-120.7578254,120.7578254,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,48750,2000,1,1978,1-State DOT,1,", , , I-394TH 100FranceEB",28-7328-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,48750,-18250,-37.43589744,37.43589744,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,48750,2000,1,1978,1-State DOT,1,", , , WB",28-7329-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,48750,-18250,-37.43589744,37.43589744,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,46750,2000,1,1978,1-State DOT,1,", , , I-394Between FranceEB",28-7330-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,46750,-20250,-43.31550802,43.31550802,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,46750,2000,1,1978,1-State DOT,1,", , , WB",28-7331-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23470-,2000,67000,,Minnesota,28-23470-,8,46750,-20250,-43.31550802,43.31550802,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,50850,2000,1,1978,1-State DOT,1,", , , I-394FranceParkwayEB",28-7332-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23471-,2000,72500,,Minnesota,28-23471-,8,50850,-21650,-42.57620452,42.57620452,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,50850,2000,1,1978,1-State DOT,1,", , , WB",28-7333-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,50850,-21650,-42.57620452,42.57620452,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,48750,2000,1,1978,1-State DOT,1,", , , I-394Between ParkwayEB",28-7334-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,48750,-23750,-48.71794872,48.71794872,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,48750,2000,1,1978,1-State DOT,1,", , , WB",28-7335-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,48750,-23750,-48.71794872,48.71794872,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,53650,2000,1,1978,1-State DOT,1,", , , I-394ParkwayPennEB",28-7336-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,53650,-18850,-35.13513514,35.13513514,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,53650,2000,1,1978,1-State DOT,1,", , , WB",28-7337-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,53650,-18850,-35.13513514,35.13513514,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,51250,2000,1,1978,1-State DOT,1,", , , I-394Between PennEB",28-7338-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,51250,-21250,-41.46341463,41.46341463,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,51250,2000,1,1978,1-State DOT,1,", , , WB",28-7339-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23472-,2000,72500,,Minnesota,28-23472-,8,51250,-21250,-41.46341463,41.46341463,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,56450,2000,1,1978,1-State DOT,1,", , , I-394PennEast of Dunwood/Wayzata Rd RampEB",28-7340-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23473-,2000,74000,,Minnesota,28-23473-,8,56450,-17550,-31.0894597,31.0894597,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,56450,2000,1,1978,1-State DOT,1,", , , WB",28-7341-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23474-,2000,74000,,Minnesota,28-23474-,8,56450,-17550,-31.0894597,31.0894597,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,44050,2000,1,1978,1-State DOT,1,", , , I-394East of Dunwood/Wayzata Rd RampI 94EB",28-7342-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23474-,2000,74000,,Minnesota,28-23474-,8,44050,-29950,-67.99091941,67.99091941,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,49650,2000,1,1978,1-State DOT,1,", , , WB",28-7343-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23474-,2000,74000,,Minnesota,28-23474-,8,49650,-24350,-49.04330312,49.04330312,
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,22000,2000,1,1978,1-State DOT,1,", , , I-394East of I 94EB",28-7344-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23474-,2000,74000,,Minnesota,28-23474-,8,22000,-52000,-236.3636364,236.3636364,Database Issue
I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,1978,SPAR-202A,12,4,MN,No Tolls on 1+ lane,22000,2000,1,1978,1-State DOT,1,", , , WB",28-7345-SPAR-202A-I 394 - From TH 10-CSAH 15 in Wayzata to Washington Ave in Minneapolis,,28-23474-,2000,74000,,Minnesota,28-23474-,8,22000,-52000,-236.3636364,236.3636364,Database Issue
TH 7 - From TH 41 to TH 101,1986,TA-M345,12,4,MN,No Tolls on 1+ lane,23350,2000,1,1986,1-State DOT,1,", , , TH 7West of Tonka FordEB",28-7346-TA-M345-TH 7 - From TH 41 to TH 101,,28-23474-,2000,74000,,Minnesota,28-23474-,8,23350,-50650,-216.9164882,216.9164882,Database Issue
TH 7 - From TH 41 to TH 101,1986,TA-M345,12,4,MN,No Tolls on 1+ lane,23250,2000,1,1986,1-State DOT,1,", , , WB",28-7347-TA-M345-TH 7 - From TH 41 to TH 101,,28-23474-,2000,74000,,Minnesota,28-23474-,8,23250,-50750,-218.2795699,218.2795699,Database Issue
