BriefDescription,ProjectYear,InternalProjectID,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,ImprovementType
The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),2003,413587-1,3,FL,No Tolls on 1+ lane,13800,2006,1,2003,5-Consultant,4-Regional travel model,MP 4.114 to MP 6.314,12-9263-413587-1-The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),1,12-24956-700369,2006,14300,700369,Florida,12-24956-700369,3-Principal Arterial,1
The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),2003,413587-1,3,FL,No Tolls on 1+ lane,14400,2016,2,2003,5-Consultant,4-Regional travel model,MP 4.114 to MP 6.314,12-9263-413587-1-The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),1,12-24956-700369,2006,14300,700369,Florida,12-24956-700369,3-Principal Arterial,1
The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),2003,413587-1,3,FL,No Tolls on 1+ lane,14900,2026,3,2003,5-Consultant,4-Regional travel model,MP 4.114 to MP 6.314,12-9263-413587-1-The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),1,12-24956-700369,2006,14300,700369,Florida,12-24956-700369,3-Principal Arterial,1
The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,2003,413586-1,1,FL,No Tolls on 1+ lane,4400,2006,1,2003,5-Consultant,5-Professional judgement,,12-9264-413586-1-The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,1,12-24957-700425,2006,6500,700425,Florida,12-24957-700425,3-Principal Arterial,1
The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,2003,413586-1,1,FL,No Tolls on 1+ lane,5700,2016,2,2003,5-Consultant,5-Professional judgement,,12-9264-413586-1-The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,1,12-24957-700425,2006,6500,700425,Florida,12-24957-700425,3-Principal Arterial,1
The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,2003,413586-1,1,FL,No Tolls on 1+ lane,7000,2026,3,2003,5-Consultant,5-Professional judgement,,12-9264-413586-1-The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,1,12-24957-700425,2006,6500,700425,Florida,12-24957-700425,3-Principal Arterial,1
"The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",2003,413585-1,4,FL,No Tolls on 1+ lane,40400,2006,1,2003,5-Consultant,5-Professional judgement,MP 7.616 to MP 10.44,"12-9266-413585-1-The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",1,12-24959-750294,2006,27000,750294,Florida,12-24959-750294,3-Principal Arterial,1
"The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",2003,413585-1,4,FL,No Tolls on 1+ lane,48700,2016,2,2003,5-Consultant,5-Professional judgement,MP 7.616 to MP 10.44,"12-9266-413585-1-The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",1,12-24959-750294,2006,27000,750294,Florida,12-24959-750294,3-Principal Arterial,1
"The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",2003,413585-1,4,FL,No Tolls on 1+ lane,57000,2026,3,2003,5-Consultant,5-Professional judgement,MP 7.616 to MP 10.44,"12-9266-413585-1-The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",1,12-24959-750294,2006,27000,750294,Florida,12-24959-750294,3-Principal Arterial,1
"The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",2003,413603-1,4,FL,No Tolls on 1+ lane,36500,2006,1,2003,5-Consultant,5-Professional judgement,,"12-9267-413603-1-The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",1,12-24960-750660,2006,41500,750660,Florida,12-24960-750660,3-Principal Arterial,1
"The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",2003,413603-1,4,FL,No Tolls on 1+ lane,44000,2016,2,2003,5-Consultant,5-Professional judgement,,"12-9267-413603-1-The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",1,12-24960-750660,2006,41500,750660,Florida,12-24960-750660,3-Principal Arterial,1
"The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",2003,413603-1,4,FL,No Tolls on 1+ lane,51500,2026,3,2003,5-Consultant,5-Professional judgement,,"12-9267-413603-1-The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",1,12-24960-750660,2006,41500,750660,Florida,12-24960-750660,3-Principal Arterial,1
The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,2003,413584-1,3,FL,No Tolls on 1+ lane,33200,2006,1,2003,5-Consultant,5-Professional judgement,,12-9269-413584-1-The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,1,12-24962-791015,2006,32000,791015,Florida,12-24962-791015,3-Principal Arterial,1
The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,2003,413584-1,3,FL,No Tolls on 1+ lane,40900,2016,2,2003,5-Consultant,5-Professional judgement,,12-9269-413584-1-The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,1,12-24962-791015,2006,32000,791015,Florida,12-24962-791015,3-Principal Arterial,1
The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,2003,413584-1,3,FL,No Tolls on 1+ lane,48700,2026,3,2003,5-Consultant,5-Professional judgement,,12-9269-413584-1-The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,1,12-24962-791015,2006,32000,791015,Florida,12-24962-791015,3-Principal Arterial,1
The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),2003,413583-1,3,FL,No Tolls on 1+ lane,38500,2006,1,2003,5-Consultant,4-Regional travel model,MP 14.975 to MP 18/435,12-9270-413583-1-The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),1,12-24963-360122,2006,42000,360122,Florida,12-24963-360122,3-Principal Arterial,1
The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),2003,413583-1,3,FL,No Tolls on 1+ lane,42300,2016,2,2003,5-Consultant,4-Regional travel model,MP 14.975 to MP 18/435,12-9270-413583-1-The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),1,12-24963-360122,2006,42000,360122,Florida,12-24963-360122,3-Principal Arterial,1
The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),2003,413583-1,3,FL,No Tolls on 1+ lane,46000,2026,3,2003,5-Consultant,4-Regional travel model,MP 14.975 to MP 18/435,12-9270-413583-1-The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),1,12-24963-360122,2006,42000,360122,Florida,12-24963-360122,3-Principal Arterial,1
The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,2003,413582-1,1,FL,No Tolls on 1+ lane,32700,2006,1,2003,5-Consultant,4-Regional travel model,MP 13.178 to MP 15.444,12-9271-413582-1-The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,1,12-24964-790532,2006,28000,790532,Florida,12-24964-790532,3-Principal Arterial,1
The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,2003,413582-1,1,FL,No Tolls on 1+ lane,44200,2016,2,2003,5-Consultant,4-Regional travel model,MP 13.178 to MP 15.444,12-9271-413582-1-The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,1,12-24964-790532,2006,28000,790532,Florida,12-24964-790532,3-Principal Arterial,1
The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,2003,413582-1,1,FL,No Tolls on 1+ lane,55800,2026,3,2003,5-Consultant,4-Regional travel model,MP 13.178 to MP 15.444,12-9271-413582-1-The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,1,12-24964-790532,2006,28000,790532,Florida,12-24964-790532,3-Principal Arterial,1
"The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",2011,422627-1,3,FL,No Tolls on 1+ lane,23500,2013,1,2011,5-Consultant,4-Regional travel model,MP 13.412 to MP 15.962,"12-9140-422627-1-The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",1,12-24836-790532,2013,25000,790532,Florida,12-24836-790532,3-Principal Arterial,4
"The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",2011,422627-1,3,FL,No Tolls on 1+ lane,28500,2023,2,2011,5-Consultant,4-Regional travel model,MP 13.412 to MP 15.962,"12-9140-422627-1-The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",1,12-24836-790532,2013,25000,790532,Florida,12-24836-790532,3-Principal Arterial,4
"The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",2011,422627-1,3,FL,No Tolls on 1+ lane,34000,2033,3,2011,5-Consultant,4-Regional travel model,MP 13.412 to MP 15.962,"12-9140-422627-1-The US 92/SR 600 Add Lanes & Reconstruct Design project from the I-4 Eastbound On-Ramp (MP 13.412) to the CR
415 (Tomoka Farms Road, MP 15.962).",1,12-24836-790532,2013,25000,790532,Florida,12-24836-790532,3-Principal Arterial,4
"The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",2003,413578-1,3,FL,No Tolls on 1+ lane,46400,2006,1,2003,5-Consultant,5-Professional judgement,,"12-9272-413578-1-The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",1,12-24965-755127,2006,47000,755127,Florida,12-24965-755127,3-Principal Arterial,1
"The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",2003,413578-1,3,FL,No Tolls on 1+ lane,50800,2016,2,2003,5-Consultant,5-Professional judgement,,"12-9272-413578-1-The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",1,12-24965-755127,2006,47000,755127,Florida,12-24965-755127,3-Principal Arterial,1
"The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",2003,413578-1,3,FL,No Tolls on 1+ lane,55400,2026,3,2003,5-Consultant,5-Professional judgement,,"12-9272-413578-1-The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",1,12-24965-755127,2006,47000,755127,Florida,12-24965-755127,3-Principal Arterial,1
"The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",2004,413577-1,3,FL,No Tolls on 1+ lane,39100,2006,1,2004,5-Consultant,5-Professional judgement,,"12-9274-413577-1-The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",1,12-24967-750565,2006,41000,750565,Florida,12-24967-750565,4-Minor Arterial,1
"The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",2004,413577-1,3,FL,No Tolls on 1+ lane,41000,2016,2,2004,5-Consultant,5-Professional judgement,,"12-9274-413577-1-The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",1,12-24967-750565,2006,41000,750565,Florida,12-24967-750565,4-Minor Arterial,1
"The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",2004,413577-1,3,FL,No Tolls on 1+ lane,43000,2026,3,2004,5-Consultant,5-Professional judgement,,"12-9274-413577-1-The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",1,12-24967-750565,2006,41000,750565,Florida,12-24967-750565,4-Minor Arterial,1
"The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",2008,423353-1,3,FL,No Tolls on 1+ lane,28300,2011,1,2008,5-Consultant,4-Regional travel model,SR 426,"12-9127-423353-1-The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",1,12-24825-750565,2011,36000,750565,Florida,12-24825-750565,3-Principal Arterial,1
"The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",2008,423353-1,3,FL,No Tolls on 1+ lane,31900,2021,2,2008,5-Consultant,4-Regional travel model,SR 426,"12-9127-423353-1-The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",1,12-24825-750565,2011,36000,750565,Florida,12-24825-750565,3-Principal Arterial,1
"The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",2008,423353-1,3,FL,No Tolls on 1+ lane,35500,2031,3,2008,5-Consultant,4-Regional travel model,SR 426,"12-9127-423353-1-The SR 426 Resurfacing Project from I-4 (M.P. 0.000) to 430 feet west of SR 15/SR 600 (M.P.
1.034)",1,12-24825-750565,2011,36000,750565,Florida,12-24825-750565,3-Principal Arterial,1
"The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",2005,416740-1,3,FL,No Tolls on 1+ lane,44300,2008,1,2005,5-Consultant,4-Regional travel model,,"12-9239-416740-1-The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",1,12-24932-750565,2008,36000,750565,Florida,12-24932-750565,3-Principal Arterial,12
"The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",2005,416740-1,3,FL,No Tolls on 1+ lane,58400,2018,2,2005,5-Consultant,4-Regional travel model,,"12-9239-416740-1-The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",1,12-24932-750565,2008,36000,750565,Florida,12-24932-750565,3-Principal Arterial,12
"The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",2005,416740-1,3,FL,No Tolls on 1+ lane,72500,2028,3,2005,5-Consultant,4-Regional travel model,,"12-9239-416740-1-The SR 426 Safety Project from (M.P. 0.000)
to (M.P. 0.102).",1,12-24932-750565,2008,36000,750565,Florida,12-24932-750565,3-Principal Arterial,12
The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,2003,413576-1,3,FL,No Tolls on 1+ lane,33700,2006,1,2003,5-Consultant,5-Professional judgement,,12-9275-413576-1-The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,1,12-24968-705071,2006,27000,705071,Florida,12-24968-705071,3-Principal Arterial,1
The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,2003,413576-1,3,FL,No Tolls on 1+ lane,38900,2016,2,2003,5-Consultant,5-Professional judgement,,12-9275-413576-1-The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,1,12-24968-705071,2006,27000,705071,Florida,12-24968-705071,3-Principal Arterial,1
The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,2003,413576-1,3,FL,No Tolls on 1+ lane,44100,2026,3,2003,5-Consultant,5-Professional judgement,,12-9275-413576-1-The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,1,12-24968-705071,2006,27000,705071,Florida,12-24968-705071,3-Principal Arterial,1
The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,2003,413575-1,1,FL,No Tolls on 1+ lane,14500,2006,1,2003,5-Consultant,5-Professional judgement,,12-9276-413575-1-The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,1,12-24969-111019,2006,17200,111019,Florida,12-24969-111019,3-Principal Arterial,1
The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,2003,413575-1,1,FL,No Tolls on 1+ lane,19600,2016,2,2003,5-Consultant,5-Professional judgement,,12-9276-413575-1-The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,1,12-24969-111019,2006,17200,111019,Florida,12-24969-111019,3-Principal Arterial,1
The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,2003,413575-1,1,FL,No Tolls on 1+ lane,24700,2026,3,2003,5-Consultant,5-Professional judgement,,12-9276-413575-1-The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,1,12-24969-111019,2006,17200,111019,Florida,12-24969-111019,3-Principal Arterial,1
"The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",2005,416657-1,1,FL,No Tolls on 1+ lane,17200,2008,1,2005,5-Consultant,1-Traffic count trend,,"12-9240-416657-1-The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",1,12-24933-111019,2008,14900,111019,Florida,12-24933-111019,3-Principal Arterial,4
"The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",2005,416657-1,1,FL,No Tolls on 1+ lane,23000,2018,2,2005,5-Consultant,1-Traffic count trend,,"12-9240-416657-1-The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",1,12-24933-111019,2008,14900,111019,Florida,12-24933-111019,3-Principal Arterial,4
"The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",2005,416657-1,1,FL,No Tolls on 1+ lane,28700,2028,3,2005,5-Consultant,1-Traffic count trend,,"12-9240-416657-1-The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",1,12-24933-111019,2008,14900,111019,Florida,12-24933-111019,3-Principal Arterial,4
The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,2003,413574-1,1,FL,No Tolls on 1+ lane,19500,2005,1,2003,5-Consultant,5-Professional judgement,,12-9277-413574-1-The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,1,12-24970-110008,2005,27000,110008,Florida,12-24970-110008,4-Minor Arterial,1
The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,2003,413574-1,1,FL,No Tolls on 1+ lane,24000,2015,2,2003,5-Consultant,5-Professional judgement,,12-9277-413574-1-The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,1,12-24970-110008,2005,27000,110008,Florida,12-24970-110008,4-Minor Arterial,1
The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,2003,413574-1,1,FL,No Tolls on 1+ lane,28500,2025,3,2003,5-Consultant,5-Professional judgement,,12-9277-413574-1-The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,1,12-24970-110008,2005,27000,110008,Florida,12-24970-110008,4-Minor Arterial,1
"The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",2003,413571-1,1,FL,No Tolls on 1+ lane,15200,2006,1,2003,5-Consultant,5-Professional judgement,,"12-9278-413571-1-The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",1,12-24971-730004,2006,18700,730004,Florida,12-24971-730004,3-Principal Arterial,1
"The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",2003,413571-1,1,FL,No Tolls on 1+ lane,20100,2016,2,2003,5-Consultant,5-Professional judgement,,"12-9278-413571-1-The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",1,12-24971-730004,2006,18700,730004,Florida,12-24971-730004,3-Principal Arterial,1
"The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",2003,413571-1,1,FL,No Tolls on 1+ lane,24900,2026,3,2003,5-Consultant,5-Professional judgement,,"12-9278-413571-1-The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",1,12-24971-730004,2006,18700,730004,Florida,12-24971-730004,3-Principal Arterial,1
"The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",2003,413570-1,3,FL,No Tolls on 1+ lane,27600,2005,1,2003,5-Consultant,4-Regional travel model,,"12-9280-413570-1-The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",1,12-24973-365046,2005,31500,365046,Florida,12-24973-365046,3-Principal Arterial,1
"The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",2003,413570-1,3,FL,No Tolls on 1+ lane,30400,2015,2,2003,5-Consultant,4-Regional travel model,,"12-9280-413570-1-The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",1,12-24973-365046,2005,31500,365046,Florida,12-24973-365046,3-Principal Arterial,1
"The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",2003,413570-1,3,FL,No Tolls on 1+ lane,33200,2025,3,2003,5-Consultant,4-Regional travel model,,"12-9280-413570-1-The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",1,12-24973-365046,2005,31500,365046,Florida,12-24973-365046,3-Principal Arterial,1
The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,2003,413473-1,1,FL,No Tolls on 1+ lane,6000,2006,1,2003,5-Consultant,4-Regional travel model,,12-9281-413473-1-The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,1,12-24974-180117,2006,10300,180117,Florida,12-24974-180117,3-Principal Arterial,12
The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,2003,413473-1,1,FL,No Tolls on 1+ lane,7200,2016,2,2003,5-Consultant,4-Regional travel model,,12-9281-413473-1-The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,1,12-24974-180117,2006,10300,180117,Florida,12-24974-180117,3-Principal Arterial,12
The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,2003,413473-1,1,FL,No Tolls on 1+ lane,8500,2026,3,2003,5-Consultant,4-Regional travel model,,12-9281-413473-1-The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,1,12-24974-180117,2006,10300,180117,Florida,12-24974-180117,3-Principal Arterial,12
"The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",2003,412357-1,1,FL,No Tolls on 1+ lane,4700,2005,1,2003,5-Consultant,1-Traffic count trend,,"12-9282-412357-1-The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",1,12-24975-180122,2005,4900,180122,Florida,12-24975-180122,3-Principal Arterial,5
"The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",2003,412357-1,1,FL,No Tolls on 1+ lane,5800,2015,2,2003,5-Consultant,1-Traffic count trend,,"12-9282-412357-1-The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",1,12-24975-180122,2005,4900,180122,Florida,12-24975-180122,3-Principal Arterial,5
"The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",2003,412357-1,1,FL,No Tolls on 1+ lane,6900,2025,3,2003,5-Consultant,1-Traffic count trend,,"12-9282-412357-1-The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",1,12-24975-180122,2005,4900,180122,Florida,12-24975-180122,3-Principal Arterial,5
"The SR 518 ? Resurfacing Project rom 0.143 Mile east of Pineapple Avenue (M.P. 5.715) to SR A1A
(M.P. 8.398).",2006,411997-1,3,FL,No Tolls on 1+ lane,39200,2008,1,2006,5-Consultant,4-Regional travel model,,"12-9283-411997-1-The SR 518 ? Resurfacing Project rom 0.143 Mile east of Pineapple Avenue (M.P. 5.715) to SR A1A
(M.P. 8.398).",1,12-24976-701005,2008,38000,701005,Florida,12-24976-701005,3-Principal Arterial,1
